Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM1380022,0.046900948897767,0,0.116455444499405,0.22016362980195,0,0.0934223771102444,0,0,0.00169347806348396,0,0.00401433154064613,0.130983362169976,0.106313271455833,0.0439471251698844,0.0223942170287363,0.106530196104659,0,0,0.107181618157415,0,0,0,0.691,0.00813487990164664,1.09153484360917
GSM1380023,0.117989414162254,0,0.0234842547240493,0.100282384748343,0,0.0630601024122865,0,0,0.0591979622569341,0,0.0446134198385049,0.0107126474573978,0.164143625956173,0,0.046397331701344,0.19598416052921,0,0.110359513735636,0.0637751824778685,0,0,0,0.744,0.00168094906686923,1.07352841439546
GSM1380024,0.16985428271243,0,0.061710871875662,0.195834370077722,0.0161041708308312,0.0250537560442371,0,0,0.0476039664302473,0,0.0130444013048526,0.0596237568468249,0.11857438495623,0,0,0.184189807312182,0,0,0.10840623160878,0,0,0,0.949,-0.0301793741543919,1.09946877921019
GSM1380025,0.0579064481123637,0,0.128105788078859,0.0973006058588185,0,0.196249305495264,0,0,0,0,0.000433832818487822,0.1315763663311,0.0247020892800726,0,0,0.220838611274919,0,0,0.142886952750117,0,0,0,0.666,0.012256653877778,1.08691912269696
GSM1380026,0.190416890836183,0,0.0700752473791999,0.125260064264232,0,0.0482244743029995,0,0,0.0759228332489595,0,0.013892431194557,0.072834695283385,0.145496494092099,0.0390383039365225,0,0.109800247042404,0,0,0.10903831841946,0,0,0,0.955,-0.0334704221760813,1.10261296829406
GSM1380028,0.217043361685021,0,0.294198360172309,0.0971399723719313,0,0.0402583500975751,0,0,0.0351661806462352,0,0,0.0791344512824325,0.098513271635702,0.0098155209955143,0.00337759468603056,0.0701614413024982,0,0,0.055191495124751,0,0,0,0.111,0.104470592366042,1.11273447572186
GSM1380029,0.112348969023955,0,0.0586859668917784,0.120088177555285,0,0,0,0,0.116324087948979,0,0,0.062486885734589,0.181287977624621,0,0.00414592345826482,0.181497947579416,0,0.0206073703841012,0.142526693799011,0,0,0,0.929,-0.0264563522745642,1.08573219649713
GSM1380030,0.00997671015321878,0,0.102185527792086,0.123557804509637,0,0.179954321497146,0,0.0171225959941387,0.0460323699458302,0,0.0583724124349932,0.109234108935255,0.128927265538014,0,0,0.170447682952377,0,0,0.054189200247304,0,0,0,0.886,-0.017211122525752,1.1032914063743
GSM1380031,0.103021483609482,0,0.121822345918105,0.118193867610432,0.0195877448731691,0.0155455407295309,0,0.0473915593073321,0,0,0.0110314978411716,0.177349083307161,0.118951836267305,0.00693617023719036,0,0.210247796155489,0,0,0.0380824141029134,0,0.011838660040719,0,0.894,-0.0185681972178875,1.1132325447118
GSM1380032,0.0407434965916209,0,0.0822750595154698,0.0673939303876832,0,0.149144975169803,0,0,0.0309862765384588,0,0.0346893635692757,0.116724704032504,0.100799020578012,0.0450979946907443,0,0.137838411416853,0,0.0157428575562265,0.178563909953348,0,0,0,0.927,-0.0256550231523771,1.09190635280081
GSM1380033,0.26936010490412,0,0.125415970582838,0.125611128513138,0,0.0558038884524931,0,0,0,0,0,0.0653834761164645,0.0608993201148704,0,0.0105988149823354,0.22507580649205,0,0,0.0487759079941074,0,0.0130755818475825,0,0.238,0.0732655677877211,1.08406563736235
GSM1380034,0.0852033210641912,0,0.0724730652265312,0.106155594659352,0,0.197320198445078,0,0.000503924869823544,0.0282643942089003,0,0.0777115537476856,0.0963934162465677,0.0782211827704871,0,0,0.150255505825928,0,0.0108408954099852,0.0966569475254695,0,0,0,0.952,-0.0316749381575918,1.10731911482863
